index,gene_ids,n_cells,highly_variable,means,dispersions,dispersions_norm
TNFRSF4,ENSG00000186827,155,True,0.27741027,2.0860496,0.6654058
CPSF3L,ENSG00000127054,202,True,0.38519418,4.5069876,2.9550054
ATAD3C,ENSG00000215915,9,True,0.038251948,3.9534862,4.3526073
C1orf86,ENSG00000162585,501,True,0.6782827,2.7135212,0.54318213
RER1,ENSG00000157916,608,True,0.81481326,3.4475331,1.5825285
TNFRSF25,ENSG00000215788,170,True,0.30261475,3.1955347,1.2742779
TNFRSF9,ENSG00000049249,11,True,0.03214526,2.691045,1.8599526
CTNNBIP1,ENSG00000178585,169,True,0.3070421,4.213911,2.5794053
SRM,ENSG00000116649,355,True,0.52288365,2.7646887,0.7221158
UBIAD1,ENSG00000120942,111,True,0.20317204,3.0425255,2.553941
DRAXIN,ENSG00000162490,7,True,0.019679831,2.1442876,0.7803952
TNFRSF1B,ENSG00000028137,379,True,0.5759392,3.662347,1.8867007
PRDM2,ENSG00000116731,177,True,0.29130387,2.6191187,0.5355566
EFHD2,ENSG00000142634,523,True,0.7460886,2.6913779,0.5118276
DDI2,ENSG00000197312,37,True,0.097504206,4.019902,4.483744
SPEN,ENSG00000065526,74,True,0.12181313,2.223669,0.9371317
SDHB,ENSG00000117118,581,True,0.8620226,4.574566,3.3339694
CAPZB,ENSG00000077549,1500,True,1.6460018,3.183822,1.2138817
CAMK2N1,ENSG00000162545,7,True,0.03315692,3.751188,3.9531753
CDA,ENSG00000158825,393,True,0.7022518,3.092404,1.0796725
C1QA,ENSG00000173372,36,True,0.09877234,2.7451012,1.9666849
C1QC,ENSG00000159189,5,True,0.015770294,2.4815915,1.4463923
C1QB,ENSG00000173369,17,True,0.0642101,2.9816093,2.4336636
ZNF436,ENSG00000125945,6,True,0.040203407,4.3837023,5.202057
MDS2,ENSG00000197880,53,True,0.111880876,2.7277858,1.9324962
PITHD1,ENSG00000057757,365,True,0.5528281,3.5303128,1.7033217
HMGCL,ENSG00000117305,137,True,0.26654065,4.1466217,4.733948
TMEM50A,ENSG00000183726,716,True,0.9404352,3.3291996,1.3929017
LDLRAP1,ENSG00000157978,338,True,0.58380866,4.397273,2.9273415
RP11-70P17.1,ENSG00000225643,27,True,0.05204648,2.4816184,1.4464455
STMN1,ENSG00000117632,196,True,0.38381714,2.7614198,0.7179264
PDIK1L,ENSG00000175087,30,True,0.106282145,4.551377,5.533126
ZNF593,ENSG00000142684,167,True,0.2711172,3.1290638,2.7248085
TMEM222,ENSG00000186501,167,True,0.2778933,2.6243358,1.7282369
PPP1R8,ENSG00000117751,159,True,0.262907,2.604969,1.6899979
PTAFR,ENSG00000169403,77,True,0.13799767,2.6036153,1.6873249
PHACTR4,ENSG00000204138,100,True,0.24939597,3.8923283,4.231853
SNHG12,ENSG00000197989,140,True,0.23145299,2.35962,1.2055632
TAF12,ENSG00000120656,380,True,0.57292646,3.01744,0.9735252
YTHDF2,ENSG00000198492,337,True,0.5131828,2.9028115,0.89913076
PUM1,ENSG00000134644,89,True,0.15875173,2.7389216,1.9544836
SPOCD1,ENSG00000134668,3,True,0.019166097,3.317402,3.0966766
TMEM234,ENSG00000160055,51,True,0.10023272,2.1843836,0.8595637
HDAC1,ENSG00000116478,421,True,0.65581894,3.6387784,1.853328
MARCKSL1,ENSG00000175130,493,True,0.7520364,3.084913,1.0690656
SMIM12,ENSG00000163866,317,True,0.47365132,3.4077663,1.546269
AGO4,ENSG00000134698,30,True,0.06644385,3.0631309,2.5946257
TRAPPC3,ENSG00000054116,441,True,0.6569953,3.5491824,1.7264619
EVA1B,ENSG00000142694,23,True,0.0661353,3.9845517,4.413945
RRAGC,ENSG00000116954,158,True,0.3102182,3.8810031,2.1527584
PPIE,ENSG00000084072,325,True,0.5094191,3.1480908,1.213475
TRIT1,ENSG00000043514,36,True,0.08630998,3.9752636,4.3956065
PPT1,ENSG00000131238,516,True,0.71612895,2.9205303,0.83630294
SMAP2,ENSG00000084070,434,True,0.6240379,3.4341125,1.5635252
ZFP69,ENSG00000187815,26,True,0.049216125,2.0164778,0.5280384
CITED4,ENSG00000179862,87,True,0.15304427,2.4541833,1.3922757
C1orf50,ENSG00000164008,149,True,0.24816307,2.356688,1.1997739
EBNA1BP2,ENSG00000117395,228,True,0.35451415,2.66825,0.59852225
ST3GAL3,ENSG00000126091,26,True,0.051234916,2.0288153,0.5523983
DMAP1,ENSG00000178028,168,True,0.26348644,2.8692772,2.211867
ERI3,ENSG00000117419,175,True,0.3268828,4.571433,3.0375972
PRDX1,ENSG00000117450,822,True,1.0639353,3.1236594,1.0725402
FAAH,ENSG00000117480,68,True,0.122926116,2.619372,1.7184359
ATPAF1,ENSG00000123472,158,True,0.244354,2.0057266,0.50681037
EFCAB14,ENSG00000159658,148,True,0.23290046,2.79486,2.064932
PDZK1IP1,ENSG00000162366,6,True,0.029020352,2.7870896,2.0495899
TAL1,ENSG00000162367,3,True,0.015462272,3.4604278,3.3790772
SPATA6,ENSG00000132122,18,True,0.033324253,2.0928273,0.67878836
ZCCHC11,ENSG00000134744,161,True,0.26355326,2.171891,0.83489734
SCP2,ENSG00000116171,735,True,0.94031376,3.4785311,1.6256546
HSPB11,ENSG00000081870,190,True,0.3528617,4.326913,2.7242258
SSBP3,ENSG00000157216,85,True,0.16235916,3.4452746,3.3491578
ACOT11,ENSG00000162390,8,True,0.0143735465,2.0236228,0.54214585
PARS2,ENSG00000162396,7,True,0.0179216,2.5305295,1.543019
ATG4C,ENSG00000125703,87,True,0.14584711,2.0505106,0.5952352
PGM1,ENSG00000079739,97,True,0.22947545,4.057713,4.5584006
LRRIQ3,ENSG00000162620,9,True,0.100023456,5.4399867,7.287661
ACADM,ENSG00000117054,213,True,0.3384796,2.8731322,0.8610945
USP33,ENSG00000077254,122,True,0.21378711,2.5195315,1.5213038
IFI44,ENSG00000137965,295,True,0.4484664,2.8198142,0.7927633
RP5-887A10.1,ENSG00000234184,36,True,0.0890959,2.258416,1.0057385
PRKACB,ENSG00000142875,126,True,0.21106146,2.5812013,1.6430691
SH3GLB1,ENSG00000097033,379,True,0.6006875,3.482447,1.6319656
PKN2,ENSG00000065243,89,True,0.16579722,2.7559469,1.9880995
GTF2B,ENSG00000137947,265,True,0.42099023,3.2639055,1.3619003
GBP1,ENSG00000117228,287,True,0.47162277,3.5444317,1.7214161
GBP4,ENSG00000162654,150,True,0.25519878,3.042409,2.5537107
LRRC8C,ENSG00000171488,76,True,0.13280703,2.1794915,0.8499044
TMED5,ENSG00000117500,244,True,0.37344047,3.786584,2.0317528
RP11-421L21.3,ENSG00000233184,53,True,0.11009922,3.194699,2.8544033
HENMT1,ENSG00000162639,122,True,0.2180852,2.4883084,1.4596548
TMEM167B,ENSG00000215717,166,True,0.25716916,2.0149024,0.5249277
SARS,ENSG00000031698,377,True,0.5557261,2.8470812,0.82770807
LAMTOR5,ENSG00000134248,752,True,0.92910945,3.0404215,0.9428029
DRAM2,ENSG00000156171,435,True,0.6147207,3.2304049,1.2750791
CEPT1,ENSG00000134255,153,True,0.26772442,2.6464963,1.7719923
DENND2D,ENSG00000162777,433,True,0.6600387,3.099647,1.0899286
CHI3L2,ENSG00000064886,108,True,0.2381936,3.2481906,2.960021
C1orf162,ENSG00000143110,1034,True,1.4030663,2.966147,0.60406244
ST7L,ENSG00000007341,78,True,0.1465233,3.217631,2.899682
LRIG2,ENSG00000198799,29,True,0.056112036,2.1055362,0.70388174
AP4B1-AS1,ENSG00000226167,7,True,0.016078236,2.0353668,0.5653341
RP5-1073O3.7,ENSG00000235527,66,True,0.12260786,2.8530233,2.179774
CD2,ENSG00000116824,856,True,1.2229007,3.0249424,0.69109017
WARS2,ENSG00000116874,33,True,0.08740816,3.7023077,3.8566625
FCGR1B,ENSG00000198019,61,True,0.09843449,2.008381,0.5120512
LIX1L,ENSG00000152022,139,True,0.24019787,2.6866326,1.8512404
CD160,ENSG00000117281,79,True,0.2282764,3.0712357,2.6106284
FCGR1A,ENSG00000150337,119,True,0.21691388,2.201814,0.8939794
BOLA1,ENSG00000178096,102,True,0.21501932,3.7654057,3.9812477
CTSS,ENSG00000163131,1396,True,2.1594687,3.2842796,0.91101456
FAM63A,ENSG00000143409,32,True,0.059654396,2.022621,0.54016775
PRUNE,ENSG00000143363,32,True,0.06919661,2.523309,1.5287625
MLLT11,ENSG00000213190,85,True,0.24227881,4.483021,5.3981586
PI4KB,ENSG00000143393,137,True,0.2297541,2.1673906,0.8260114
C2CD4D,ENSG00000225556,5,True,0.064156786,5.0062113,6.431184
THEM4,ENSG00000159445,151,True,0.237222,2.5752947,1.6314068
S100A11,ENSG00000163191,1421,True,2.1211407,3.1109567,0.60069966
S100A12,ENSG00000163221,149,True,0.41527945,3.0116372,1.0385993
S100A8,ENSG00000143546,743,True,2.768541,4.7944245,2.5181434
S100A6,ENSG00000197956,2109,True,2.8852928,3.2734613,1.3110182
SNAPIN,ENSG00000143553,313,True,0.49253076,3.1301143,1.1904367
CRTC2,ENSG00000160741,86,True,0.17824842,3.9618983,4.369217
SLC39A1,ENSG00000143570,169,True,0.25787735,2.64177,1.7626601
UBE2Q1,ENSG00000160714,58,True,0.1673721,4.796314,6.016747
CKS1B,ENSG00000173207,187,True,0.3230614,3.406466,1.5446025
SLC50A1,ENSG00000169241,163,True,0.26411533,2.063983,0.62183595
RIT1,ENSG00000143622,89,True,0.16472232,2.74622,1.9688942
PMF1,ENSG00000160783,365,True,0.53234005,3.1336987,1.1950303
BGLAP,ENSG00000242252,6,True,0.014842686,2.0484655,0.59119713
GPATCH4,ENSG00000160818,106,True,0.2020298,3.395113,3.2501152
ISG20L2,ENSG00000143319,147,True,0.2335365,2.1120753,0.716793
HDGF,ENSG00000143321,148,True,0.2734711,3.7209644,3.8934996
FCRL2,ENSG00000132704,47,True,0.0855574,2.005929,0.50721
CD1C,ENSG00000158481,71,True,0.13623123,2.0366232,0.56781495
AIM2,ENSG00000163568,61,True,0.13361987,3.8587492,4.1655517
FCER1A,ENSG00000179639,55,True,0.22429653,3.2722893,3.0076032
FCRL6,ENSG00000181036,95,True,0.20938283,2.1151276,0.72281957
DCAF8,ENSG00000132716,139,True,0.23942606,3.2256486,2.9155126
PEX19,ENSG00000162735,112,True,0.18919943,3.0232477,2.5158775
CD48,ENSG00000117091,1873,True,2.0176427,3.143895,0.65967184
F11R,ENSG00000158769,21,True,0.03865492,2.0727925,0.6392302
PFDN2,ENSG00000143256,525,True,0.710327,2.961391,0.8941608
NIT1,ENSG00000158793,126,True,0.21257235,2.4697683,1.4230478
DEDD,ENSG00000158796,82,True,0.1501323,3.2193234,2.9030235
FCER1G,ENSG00000158869,964,True,2.1076639,3.2739627,0.89254344
FCGR2A,ENSG00000143226,226,True,0.3979119,3.2393358,1.3304124
FCGR3A,ENSG00000203747,497,True,1.2751833,3.0972352,0.79809636
FCGR2B,ENSG00000072694,77,True,0.15833396,2.0080347,0.5113677
FCGR3B,ENSG00000162747,13,True,0.027478656,2.0718195,0.6373091
FCRLA,ENSG00000132185,117,True,0.2850407,3.458319,1.6110561
TMCO1,ENSG00000143183,469,True,0.65017086,2.7892566,0.65042186
CD247,ENSG00000198821,721,True,1.1170269,3.145324,1.1063074
MPC2,ENSG00000143158,427,True,0.6235654,4.111514,2.5227125
XCL2,ENSG00000143185,138,True,0.3521857,2.6191266,0.5355667
XCL1,ENSG00000143184,86,True,0.2025461,2.1616518,0.81468046
BLZF1,ENSG00000117475,53,True,0.10746847,2.7311149,1.9390693
F5,ENSG00000198734,18,True,0.044956874,2.3327785,1.1525651
SELL,ENSG00000188404,1264,True,1.6083503,3.4479942,1.7066356
FMO4,ENSG00000076258,11,True,0.024754856,2.159126,0.80969334
