X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
-5.5562196,-0.25772825,0.18678895,-2.800096,0.05072638,-0.010707378,-0.56038415,-3.0718162,-2.9454181,-1.9462229,0.11902508,0.16206542,2.2407703,0.22401589,-1.9069587,-1.3980763,0.86373824,0.7022459,-3.2127676,0.716978,-3.516485,-0.9963616,0.03768859,-1.5057389,-3.1456149,-0.08359776,-1.8271095,-1.79583,0.966078,0.7770966,-0.81604815,-2.1592827,-0.361226,0.49558794,-0.6960118,-2.4240918,-0.8425779,1.9851872,1.3779927,-1.5725449,0.30388838,-0.61354375,0.7857912,0.21155083,2.2573931,-2.3561003,-0.3412465,-0.340945,1.4822404,1.8976656,4.788199405766126,-0.12181774424276604
-7.209528,-7.4819956,-0.16269448,8.018518,-3.006618,-0.11805607,-2.3892775,-1.0636472,0.65557826,0.6711491,-2.3888984,0.88119453,4.732929,0.6508224,-0.33238253,-2.5572433,-0.23171403,0.2512264,1.4951892,2.4753945,-0.2863993,1.8078946,-2.8167043,-2.3060842,0.6890916,-0.8087419,-0.16398686,-1.8272092,1.9438823,0.32668316,1.4431225,-2.8163362,0.8803816,0.58954906,3.100814,-0.6148532,-0.817965,0.8839157,-2.6607106,0.305815,0.6770901,1.0283172,-0.24012735,2.3968923,-1.0403695,-2.2152238,0.43392372,-1.9761006,-1.5601878,-1.4960515,2.7797709058549938,7.981870083714916
-2.6944375,1.5836611,0.6631181,-2.2056453,1.7890178,1.9501437,2.070499,-1.6064547,-0.9115895,-1.3860004,-1.8056003,0.31379718,1.3929776,-0.019539177,-3.2546904,0.92921776,1.8389544,-1.6531093,0.9209307,2.0389757,-0.36546764,-2.418653,-0.37697017,0.09720433,-0.34141755,0.13058445,3.899429,-0.23254985,0.62470126,-0.9619569,-1.605587,1.3459941,-2.1509416,0.37311077,0.4811716,1.9099994,-2.0437095,-2.6226556,0.9494329,-0.48679864,-0.9003561,0.38194138,0.50927603,-1.6401399,-0.27129278,-2.0213532,-1.8152616,0.54381675,-0.54452586,-4.3397226,1.7131284888240894,1.526658405401099
10.143295,1.3685317,-1.2098234,0.7000723,2.9061666,0.03625405,-1.2728609,0.38745108,-0.8583679,0.0042711943,-2.3616111,-0.9092611,1.2348596,-1.267435,1.4175738,-0.03816796,1.3582017,0.863588,-0.62172586,0.95391643,-2.0324764,0.8065972,0.66989,0.5322153,-2.2798433,-0.4192536,1.0546277,0.89003396,-1.7307507,1.4919662,-1.6344756,-0.76114935,0.18509154,0.19402386,0.80107903,-0.3951793,-2.5954065,-0.764874,0.35214436,-1.0585095,0.26887727,0.9294195,1.8137751,-1.3741997,1.6400888,0.3716392,0.094331205,2.2002602,1.800584,-0.17585458,-7.304638813425377,2.278452862776767
1.112814,8.152801,-1.3323585,4.2524858,-1.9631804,-5.6716638,-0.37243304,0.13612261,0.8127277,-0.1054082,-0.13012868,0.866888,3.8695986,1.3336062,-1.462227,-0.2136287,-0.033836305,-2.1509156,2.2967057,-0.89292127,-0.22024108,-4.3919477,1.1417426,0.45651346,-0.4519558,-0.42750305,1.0424054,-0.49242997,2.1171818,-3.1570451,2.1081586,0.5302118,3.0450485,-1.6510485,-2.0405464,2.6818256,1.7507784,-3.149615,-1.4644959,-0.59417,1.2801864,-1.4238868,1.1355915,1.2266368,-0.44958407,0.6963894,2.1791317,-0.43453053,-4.958561,-0.7042943,2.3660229352173974,-4.54514978006319
-1.4440432,-1.9438423,-0.7239892,-2.273539,-1.7378978,0.6491784,1.5468065,1.3651583,-0.48701322,-0.14645584,-1.3895433,1.030126,1.7883995,0.21616457,-1.105555,0.3387912,-1.0706587,1.1737161,0.47449836,1.3091516,1.2014227,-0.055074193,4.535625,-2.446983,-0.7153575,0.100260615,-1.0755965,-4.8345304,-6.037347,-0.07551584,-4.870912,2.8525598,0.33450314,0.4696763,-4.1167893,-2.8036075,-1.2584729,-0.60291296,-1.0456948,-0.7277762,-1.7819881,-3.3170018,4.3759637,3.313329,0.0024090558,-1.1742035,-2.0010397,-0.27898937,-0.7989562,-3.5387547,4.018287159217783,0.17673525170743218
-5.3831425,2.21805,0.14231388,-1.7770307,-1.5681925,0.7988983,-1.7774577,0.21305285,0.53862625,-0.5410108,0.50321287,1.0629337,-2.2944224,1.2501919,-0.8481104,-0.069097295,0.5441991,-2.1701074,-0.35926375,1.0424284,1.4307542,-2.3740757,-0.46396083,0.7318635,3.5207686,-0.2993669,3.4613805,3.539828,0.9022012,-1.3952742,-0.7146752,0.9519694,0.9723581,0.6326693,-2.6016521,0.78406274,1.3427538,1.2888263,-0.17502338,0.7045666,0.6271945,0.5327953,-1.0047951,-1.3699121,-0.17851648,1.1441457,-0.36925668,1.7176404,-2.6150854,-1.4679468,3.952345701441754,1.3248360795409633
-5.0546103,2.7576714,0.7630212,-1.6328354,1.1112123,3.6521087,-0.16020353,-0.36488664,-1.084315,0.6048913,0.85427576,-0.51063025,1.5931519,-0.44845864,-1.5507445,4.0586643,1.6188198,-1.2598493,1.8133456,0.5055592,0.8679443,-5.3150644,-2.1786134,-0.78556293,0.15187785,-0.41594684,-2.0177996,2.4128933,2.5464733,1.7197936,1.5225675,-0.17341298,0.699472,1.7305384,-1.6293639,-0.7031213,-2.6390612,0.68277764,0.7298626,1.7307043,-2.4236705,0.89563096,1.4874808,-0.78355455,-0.5057781,-0.8589394,0.32742387,2.281029,-2.6945426,-3.3935914,2.4871693007449767,-0.8055751876415735
-0.99556893,0.23817141,-0.6284513,0.7121338,0.66407114,2.4827707,-4.3080826,-2.189745,-0.40119186,-2.4460769,-1.0315051,0.6553642,-0.41740856,-2.7691789,-0.94090056,-1.9710343,1.3678665,-1.9731716,-0.65810883,0.837992,-0.8954078,-0.20789088,1.645609,-0.29464185,-1.020045,0.699905,-2.287065,1.223024,-2.4044065,-1.3037759,-0.01618965,0.33328578,1.091549,-2.0078194,-1.4176756,-0.5096468,-2.3137133,0.10929325,1.3687246,-0.0310562,0.8837399,-0.38647276,0.26180983,-1.345662,0.57334507,0.050998606,-0.14994803,0.96853256,2.173074,2.1228023,2.5047800902571455,-1.107414131642419
7.003579,0.18921018,0.23942997,-2.0080729,5.061864,-1.9156567,-2.1887622,1.5392535,-2.0567958,-1.436026,1.92443,1.4869347,-0.25271285,-1.6325617,-0.94841635,1.0545388,0.012970269,1.0501125,1.4469283,1.3735472,-0.27702126,2.3268778,-0.4916944,-1.1405256,-1.3580308,-0.16456565,-0.10115517,1.8588502,-0.98319983,-0.2604666,1.3887376,-0.22355272,1.7568233,0.27677268,-0.31370708,1.0055434,0.49674135,-0.18003796,0.61372316,-0.33719093,1.3033873,-0.09318452,1.212399,1.1208948,-0.33540338,3.9648476,-0.7043745,-1.2019404,-1.2260302,1.0236812,-5.967119649698979,2.0386965765130367
